customer_id,age,gender,region,income_tier,education_level,marital_status,tenure_months,contract_type,preferred_channel,loyalty_tier,churn
CUST008578,62.0,Female,central,High,High School,Widowed,15,Annual,Web,Silver,1
CUST010540,38.0,Female,CENTRAL,Mid,Post-Graduate,Married,34,Monthly,App,Silver,1
CUST007403,70.0,MALE,north,Mid,,Single,11,Multi-year,Web,Bronze,0
CUST000482,32.0,Male,East,Low,High School,Married,32,Monthly,Web,Bronze,0
CUST007204,30.0,Male,South ,Low,Graduate,Married,55,Monthly,Web,Bronze,0
CUST000965,55.0,Male,north ,,,Single,32,Monthly,Phone,Bronze,0
CUST012721,,Female,north,Low,Graduate,Married,51,Annual,Web,Silver,0
CUST000377,26.0,FEMALE,North,High,Graduate,Widowed,36,Monthly,Phone,Bronze,0
CUST016637,47.0,female,west,,Graduate,Widowed,120,Annual,App,Bronze,1
CUST016083,33.0,F,Central,High,High School,Married,30,Monthly,App,Silver,0
CUST012562,45.0,Non-binary,EAST,High,Graduate,Married,18,Annual,Web,,0
CUST015756,43.0,male,West,Low,Post-Graduate,Single,86,Annual,Web,Silver,1
CUST008822,47.0,Female,East,Low,Graduate,Married,16,Monthly,App,Silver,0
CUST009417,36.0,Male,south,High,Post-Graduate,Single,15,Annual,App,Platinum,0
CUST005669,61.0,Female,West,Mid,Graduate,Divorced,54,Monthly,Web,Silver,1
CUST006820,48.0,Male,Central,,Graduate,Divorced,42,Multi-year,Web,Platinum,0
CUST001883,51.0,Non-binary,West,Mid,,Divorced,33,Monthly,App,Gold,1
CUST013176,46.0,Male,central,High,Graduate,Single,18,Annual,Web,Silver,1
CUST018153,31.0,Female,north,Mid,,Divorced,5,Monthly,App,Bronze,1
CUST000705,48.0,MALE,Central,Mid,Graduate,Single,54,Monthly,In-store,Gold,1
CUST014900,68.0,Female,South,Low,Doctorate,Divorced,52,Annual,Phone,,1
CUST009095,27.0,Female,West,Mid,Post-Graduate,Married,52,Multi-year,App,Platinum,0
CUST008778,45.0,male,South ,Mid,Graduate,Married,60,Monthly,Web,,0
CUST012024,27.0,Female,south,Mid,High School,Married,53,Annual,App,Silver,0
CUST018411,30.0,FEMALE,central,Mid,Graduate,Single,86,Monthly,Web,Bronze,1
CUST005751,45.0,Male,South ,High,Post-Graduate,Single,17,Monthly,In-store,Bronze,1
CUST006981,37.0,Female,North,Low,Graduate,Married,63,Annual,In-store,Bronze,1
CUST013799,34.0,male,WEST,High,Post-Graduate,Single,12,Multi-year,Web,,0
CUST008919,41.0,Non-binary,North,Mid,High School,Single,31,Monthly,In-store,Gold,0
CUST002593,41.0,Non-binary,north ,Low,Graduate,Married,38,Annual,App,Bronze,0
CUST012653,52.0,female,South ,Low,,Married,25,Monthly,App,Bronze,0
CUST004911,44.0,Female,CENTRAL,High,,Single,18,multi-year,In-store,Gold,0
CUST018854,32.0,Female,EAST,High,,Married,4,Monthly,App,,0
CUST010167,31.0,Female,East,Low,Post-Graduate,Married,34,Monthly,App,Bronze,0
CUST001576,65.0,Female,west,Mid,Graduate,Married,6,Monthly,App,Platinum,0
CUST014848,27.0,Male,West,Mid,Doctorate,Married,18,Monthly,App,Silver,0
CUST011795,34.0,Female,North,Low,High School,Married,26,Annual,App,,0
CUST006082,46.0,Female,South,High,Graduate,Married,13,Annual,In-store,Silver,0
CUST004391,57.0,F,NORTH,Low,Post-Graduate,Widowed,20,Monthly,Phone,,0
CUST008594,22.0,Male,Central,Mid,Post-Graduate,Widowed,9,Monthly,Web,Gold,0
CUST017661,57.0,female,north,Mid,Graduate,Divorced,34,Annual,App,,1
CUST005035,32.0,FEMALE,South,Mid,High School,Divorced,27,Monthly,App,Bronze,0
CUST000429,40.0,Male,north,High,Graduate,Divorced,14,Annual,App,Platinum,0
CUST003776,44.0,Male,East,,Post-Graduate,Divorced,23,Monthly,Web,Bronze,0
CUST011494,49.0,Female,Central,Low,Graduate,Married,22,Annual,Web,Bronze,1
CUST000056,30.0,Male,SOUTH,,High School,Divorced,18,Monthly,App,Gold,0
CUST011154,27.0,Male,east,High,Graduate,Married,36,Monthly,App,Bronze,0
CUST018422,47.0,male,SOUTH,Mid,Post-Graduate,Single,10,Monthly,Web,,0
CUST002171,49.0,Female,Central,,High School,Married,47,Multi-year,App,Silver,0
CUST010367,49.0,Female,Central,Mid,Post-Graduate,Married,30,Monthly,App,Bronze,0
CUST003575,18.0,Non-binary,SOUTH,Mid,High School,Divorced,28,Monthly,Web,Bronze,0
CUST004920,48.0,M,north,Low,Graduate,Divorced,21,Multi year,Web,Silver,0
CUST014529,54.0,Female,North,Mid,Post-Graduate,Divorced,24,Annual,Web,Bronze,0
CUST015055,49.0,Male,North,High,Post-Graduate,Single,58,Annual,Phone,Silver,0
CUST005110,32.0,Male,South,High,Graduate,Married,31,Annual,Web,Bronze,0
CUST009895,46.0,Male,North,Low,Graduate,Single,24,Monthly,In-store,,0
CUST004826,71.0,M,South,Mid,Graduate,Married,35,Annual,Phone,Silver,0
CUST009677,33.0,Male,east,Mid,Post-Graduate,Married,14,Annual,Web,,0
CUST016278,60.0,female,EAST,Mid,Graduate,Single,27,Monthly,In-store,Silver,0
CUST000443,45.0,female,West,Low,Graduate,Divorced,24,Multi-year,In-store,Silver,0
CUST005708,50.0,Female,West,Mid,High School,Widowed,57,Annual,Web,Bronze,0
CUST015571,33.0,Male,SOUTH,Low,High School,Single,24,Monthly,In-store,Bronze,1
CUST002421,26.0,Female,West,High,High School,Single,2,Annual,App,Silver,1
CUST014936,63.0,Female,North,Low,Graduate,Married,49,Monthly,App,,0
CUST007829,21.0,Male,East,Mid,Graduate,Widowed,21,Monthly,App,Bronze,0
CUST015128,75.0,Non-binary,North,,Doctorate,Divorced,71,Annual,In-store,Bronze,1
CUST014381,52.0,Male,west,Low,Doctorate,Married,40,Monthly,App,Bronze,0
CUST004725,46.0,Male,north ,High,High School,Married,7,Monthly,In-store,Gold,0
CUST001092,36.0,Male,EAST,Low,Graduate,Single,19,Annual,Web,Bronze,1
CUST009344,20.0,Male,north,High,,Single,65,Monthly,App,,0
CUST017436,40.0,Female,CENTRAL,Mid,Post-Graduate,Single,24,Monthly,Web,Bronze,1
CUST008666,45.0,Female,south,Mid,,Single,30,multiyear,Web,,0
CUST018647,54.0,Male,Central,Mid,High School,Single,10,Monthly,App,Gold,0
CUST018792,44.0,Non-binary,EAST,Low,Post-Graduate,Married,36,Annual,Phone,Silver,0
CUST016523,,M,north,High,Graduate,Married,6,Multi-year,Phone,,1
CUST002727,56.0,Male,CENTRAL,,Graduate,Divorced,2,Monthly,Web,Silver,0
CUST015806,,Male,NORTH,Low,Graduate,Married,55,Annual,App,Silver,0
CUST005552,51.0,Male,central,Mid,High School,Single,17,Monthly,Web,Gold,0
CUST013190,64.0,Male,West,,Graduate,Married,91,Multi-year,Web,Bronze,0
CUST010199,44.0,Male,north,Mid,Graduate,Single,31,Monthly,In-store,,0
CUST008733,24.0,Female,East,High,Graduate,Single,21,Monthly,Web,Bronze,1
CUST012114,36.0,Female,NORTH,Low,Graduate,Single,32,Annual,Web,Bronze,0
CUST016772,60.0,Female,east,Mid,Graduate,Married,41,Multi-year,In-store,Silver,0
CUST015461,60.0,Female,South ,High,Graduate,Single,5,Multi year,Web,,0
CUST003935,,Male,north,,Graduate,Married,12,Multi-year,App,Silver,0
CUST001440,57.0,male,East,Mid,Graduate,Single,24,Monthly,App,Silver,0
CUST017353,36.0,Non-binary,South ,Low,Graduate,Married,26,Multi-year,App,Bronze,1
CUST005042,40.0,F,south,Mid,High School,Married,36,Monthly,Phone,Silver,1
CUST000993,44.0,FEMALE,Central,Low,Post-Graduate,Married,29,Monthly,In-store,,0
CUST003627,55.0,Male,north ,High,Graduate,Married,12,Monthly,Phone,Bronze,1
CUST012066,44.0,male,NORTH,Low,Graduate,Married,46,multiyear,Phone,,0
CUST014647,56.0,MALE,South,Mid,High School,Divorced,12,Multi-year,Web,Silver,0
CUST006039,70.0,Female,SOUTH,Mid,Graduate,Single,55,Annual,Web,Gold,0
CUST002613,35.0,Male,central,,Graduate,Married,3,Annual,In-store,,0
CUST006053,37.0,Female,Central,Mid,Graduate,Married,22,Monthly,Web,Silver,0
CUST004441,,Female,CENTRAL,,Graduate,Single,40,Multi year,Web,Bronze,1
CUST015022,53.0,MALE,south,High,Post-Graduate,Single,10,Annual,Phone,Gold,0
CUST006949,37.0,Female,east,Low,High School,Married,25,Monthly,Phone,Gold,0
CUST016744,34.0,Male,South ,Low,High School,Divorced,15,Annual,In-store,Bronze,1
CUST005970,63.0,M,north,Mid,Graduate,Divorced,36,Monthly,Phone,Bronze,0
CUST014894,34.0,Female,Central,Low,Graduate,Married,98,Annual,Web,Bronze,0
CUST015673,41.0,Male,CENTRAL,,High School,Single,32,Annual,App,Gold,0
CUST013482,62.0,male,North,,Graduate,Married,15,Annual,Web,Silver,0
CUST007544,24.0,Female,East,Low,High School,Divorced,35,Annual,In-store,Gold,1
CUST009903,35.0,Male,West,Mid,High School,Single,29,Monthly,Phone,Bronze,0
CUST015710,27.0,MALE,Central,Mid,Doctorate,Married,42,Monthly,App,Silver,0
CUST016824,49.0,male,SOUTH,Mid,Graduate,Single,38,Annual,App,Silver,1
CUST012159,27.0,male,north,Low,High School,Widowed,64,Monthly,App,Silver,0
CUST018147,42.0,Female,Central,Mid,Graduate,Single,9,Annual,Phone,,0
CUST002035,70.0,Male,South ,Mid,Graduate,Married,33,Annual,Web,Bronze,0
CUST019377,38.0,Female,east,Mid,High School,Married,6,Annual,Web,Gold,0
CUST000288,,Male,north,High,,Married,45,Monthly,In-store,Gold,0
CUST018562,23.0,Male,north,,Post-Graduate,Single,52,Monthly,App,Gold,0
CUST000320,45.0,Male,East,High,High School,Single,66,Monthly,App,,0
CUST000513,,Male,NORTH,Low,Graduate,Single,32,Annual,App,Bronze,0
CUST018139,19.0,Male,EAST,Low,Graduate,Divorced,32,Multi-year,Web,Bronze,0
CUST003474,33.0,Non-binary,East,Mid,,Single,27,Monthly,App,Platinum,0
CUST018927,34.0,MALE,South ,High,Doctorate,Married,13,Annual,Web,Bronze,0
CUST006164,37.0,female,Central,Mid,Graduate,Single,23,Multi-year,Web,Gold,0
CUST004704,,Non-binary,central,Mid,High School,Single,24,Monthly,Web,Bronze,0
CUST007554,47.0,Male,South ,High,Graduate,Single,27,Multi-year,Web,Bronze,1
CUST000940,39.0,M,South ,Low,High School,Single,25,Monthly,App,Silver,1
CUST008947,32.0,Female,west,High,Graduate,Married,59,Monthly,In-store,Gold,0
CUST013861,41.0,Female,West,Low,Graduate,Married,32,Monthly,App,Gold,0
CUST018463,54.0,Male,north ,Mid,Post-Graduate,Married,3,Multi-year,Phone,Silver,0
CUST009137,30.0,Female,North,Low,Graduate,Married,48,multiyear,App,Gold,0
CUST015288,,Male,east,,Graduate,Single,32,Annual,In-store,Bronze,0
CUST017792,25.0,Male,SOUTH,Low,Post-Graduate,Single,3,multi-year,Web,Bronze,0
CUST018753,56.0,Male,SOUTH,Mid,High School,Married,29,Annual,App,,1
CUST010108,26.0,Male,Central,Low,High School,Divorced,65,Multi year,Phone,Silver,0
CUST007691,,FEMALE,EAST,Low,High School,Divorced,31,Monthly,App,Platinum,0
CUST009902,47.0,Male,central,Mid,,Married,8,Monthly,Web,Bronze,0
CUST004028,54.0,M,east,High,Graduate,Single,14,Multi-year,App,Bronze,1
CUST016994,75.0,Male,south,Mid,,Married,14,Monthly,Web,Bronze,0
CUST004254,26.0,FEMALE,east,Low,High School,Widowed,10,Annual,Web,Platinum,0
CUST015172,64.0,Female,south,Low,Doctorate,Divorced,21,Annual,Web,Bronze,0
CUST012689,49.0,Female,north ,High,Post-Graduate,Single,15,Annual,Web,Bronze,0
CUST010589,31.0,Female,South,Mid,Post-Graduate,Divorced,24,Monthly,Web,Gold,0
CUST019822,45.0,M,CENTRAL,Mid,Post-Graduate,Single,28,Monthly,Web,Bronze,0
CUST005117,24.0,Male,east,Low,Graduate,Single,49,multiyear,Web,Silver,1
CUST013867,45.0,Male,east,Mid,Post-Graduate,Married,25,Annual,App,Silver,0
CUST008052,54.0,Female,central,Mid,Post-Graduate,Divorced,3,Monthly,Web,Bronze,1
CUST014083,53.0,F,South ,High,Graduate,Single,41,Annual,In-store,Gold,0
CUST003198,39.0,Male,north,Mid,High School,Married,1,Monthly,Web,Bronze,0
CUST013668,49.0,female,NORTH,Mid,Graduate,Single,46,Monthly,Web,Silver,0
CUST004045,40.0,Non-binary,North,Low,Graduate,Divorced,26,Annual,Phone,Silver,0
CUST007518,67.0,Male,EAST,Mid,Graduate,Divorced,60,Monthly,Web,Silver,0
CUST019692,21.0,Female,North,Mid,High School,Married,17,Monthly,App,Silver,0
CUST011818,69.0,Male,south,Mid,Doctorate,Married,70,Annual,App,Gold,0
CUST004802,45.0,Female,CENTRAL,Mid,Graduate,Married,9,Monthly,Web,Bronze,0
CUST017632,37.0,Female,east,,Graduate,Single,21,Annual,Phone,Silver,0
CUST000672,29.0,Female,north,Mid,High School,Single,18,Monthly,Web,Silver,1
CUST019071,,Male,central,Mid,High School,Widowed,61,Monthly,In-store,Bronze,1
CUST014857,58.0,FEMALE,North,Mid,Graduate,Married,25,multi-year,App,,0
CUST009499,32.0,male,north,Mid,Post-Graduate,Widowed,17,Monthly,App,Bronze,0
CUST017217,50.0,Non-binary,Central,Low,,Single,36,Monthly,Web,Bronze,1
CUST001060,48.0,Female,EAST,Low,Graduate,Divorced,29,Multi year,Web,Silver,0
CUST000132,20.0,Male,EAST,High,High School,Single,50,Monthly,Web,,0
CUST006294,49.0,F,West,Low,,Married,38,Monthly,In-store,,0
CUST009422,27.0,Female,South,,High School,Married,42,Monthly,Web,,1
CUST013451,56.0,Male,east,,Post-Graduate,Single,21,Annual,Web,Bronze,0
CUST005728,35.0,M,WEST,Low,Graduate,Married,36,Monthly,Web,Platinum,0
CUST019910,46.0,Female,north ,High,Post-Graduate,Single,46,Annual,In-store,Bronze,0
CUST002987,63.0,male,south,Low,High School,Single,23,Monthly,App,Silver,0
CUST001044,64.0,Male,south,Mid,Post-Graduate,Single,38,Multi-year,In-store,Silver,0
CUST014657,49.0,Male,North,Mid,Graduate,Single,22,Monthly,Phone,Bronze,0
CUST013937,55.0,Male,North,,Post-Graduate,Single,59,Annual,Web,Bronze,0
CUST002214,38.0,female,WEST,Low,Graduate,Married,57,Annual,In-store,Silver,1
CUST001704,18.0,Female,north,Mid,Post-Graduate,Married,51,Annual,Phone,Bronze,1
CUST017281,25.0,Female,NORTH,,Post-Graduate,Married,39,Annual,In-store,Silver,1
CUST003429,32.0,Female,NORTH,Low,High School,Divorced,9,Annual,Web,Gold,0
CUST000893,42.0,Male,South ,Mid,Graduate,Married,38,Monthly,App,,1
CUST002551,48.0,MALE,West,Low,High School,Divorced,20,Monthly,Web,Platinum,0
CUST005744,,female,EAST,Mid,Doctorate,Single,12,Multi-year,Web,Silver,0
CUST008792,39.0,Female,WEST,Mid,High School,Married,12,multi-year,Web,Bronze,0
CUST003587,24.0,M,NORTH,Mid,Post-Graduate,Married,5,Annual,Phone,,1
CUST004186,46.0,Male,central,High,Graduate,Single,49,Multi-year,Phone,Bronze,0
CUST009418,35.0,Female,WEST,Mid,Doctorate,Divorced,71,Monthly,In-store,Silver,0
CUST001984,54.0,Female,WEST,Mid,Doctorate,Single,23,Monthly,App,Silver,1
CUST000398,54.0,Male,west,High,,Married,9,Monthly,App,Bronze,1
CUST001458,75.0,female,CENTRAL,Low,Graduate,Married,57,Multi-year,In-store,Bronze,1
CUST001345,41.0,Female,north ,Low,High School,Single,6,Multi year,App,,0
CUST015801,26.0,Male,NORTH,High,High School,Single,20,Monthly,App,Silver,0
CUST006669,40.0,F,north ,High,Post-Graduate,Single,33,Monthly,App,,0
CUST016649,30.0,male,north,Mid,Graduate,Divorced,2,Annual,Web,Silver,0
CUST012333,54.0,Male,central,Mid,High School,Single,65,Monthly,Web,Bronze,0
CUST015266,45.0,Male,central,Mid,Graduate,Married,29,Annual,Web,Silver,0
CUST019246,48.0,M,East,Low,Graduate,Married,10,Monthly,App,Bronze,0
CUST009850,38.0,Male,north ,Low,Graduate,Married,15,Annual,Web,Silver,1
CUST019185,41.0,Male,West,Mid,Graduate,Divorced,20,Monthly,Web,Gold,0
CUST016342,42.0,male,SOUTH,Low,Graduate,Married,17,Multi-year,In-store,Silver,1
CUST003817,39.0,M,EAST,Mid,Graduate,Single,13,Annual,Web,Bronze,1
CUST009435,47.0,Male,EAST,Mid,High School,Divorced,24,Annual,In-store,,1
CUST014200,48.0,Male,EAST,High,High School,Single,28,Annual,App,Bronze,0
CUST010026,,Male,north ,Mid,High School,Married,51,multi-year,Web,Bronze,0
CUST007211,31.0,female,central,Mid,Graduate,Single,16,Annual,Phone,Bronze,1
CUST004670,40.0,Female,WEST,High,Graduate,Married,12,Monthly,Web,Bronze,0
CUST010113,52.0,Female,central,Mid,Graduate,Divorced,29,Multi-year,Phone,Bronze,0
CUST013716,47.0,Female,East,High,High School,Married,48,multi-year,In-store,Platinum,0
CUST008811,20.0,Female,East,Mid,Graduate,Single,13,Multi-year,In-store,Bronze,0
CUST004622,48.0,M,central,Mid,Graduate,Married,7,Monthly,In-store,Bronze,1
CUST011569,26.0,M,South ,Low,High School,Divorced,29,Multi-year,App,Bronze,0
CUST008520,61.0,Male,NORTH,,Graduate,Married,17,Monthly,In-store,Silver,0
CUST012840,52.0,MALE,CENTRAL,High,,Married,27,Monthly,Web,Gold,0
CUST016622,71.0,Female,south,Mid,High School,Single,25,Annual,In-store,,0
CUST007542,37.0,Male,central,High,High School,Married,28,Annual,Web,Bronze,0
CUST009115,60.0,Female,SOUTH,Low,,Married,75,Multi-year,Web,Bronze,0
CUST000341,41.0,M,NORTH,Mid,Post-Graduate,Married,24,Monthly,App,Gold,0
CUST009001,60.0,female,central,,High School,Single,11,Multi year,Web,Bronze,0
CUST014523,18.0,female,CENTRAL,High,High School,Widowed,61,Annual,Web,Silver,1
CUST018486,18.0,Male,west,Mid,Graduate,Divorced,32,Monthly,App,Silver,1
CUST008753,56.0,Female,North,High,Post-Graduate,Single,32,Annual,Phone,Gold,0
CUST004975,45.0,Female,south,Mid,High School,Single,15,multi-year,Phone,,0
CUST002872,21.0,Male,CENTRAL,Mid,Graduate,Married,48,multiyear,In-store,,0
CUST001894,38.0,Male,South ,Mid,Post-Graduate,Married,9,Annual,In-store,Gold,0
CUST018338,20.0,Male,west,Mid,High School,Married,41,Annual,In-store,Silver,1
CUST019757,22.0,Male,north,Low,Graduate,Married,2,Monthly,In-store,Bronze,0
CUST001383,25.0,Female,north ,Low,Post-Graduate,Married,15,Annual,In-store,Gold,1
CUST014082,33.0,Male,east,Low,Graduate,Married,50,Monthly,In-store,,0
CUST018506,32.0,Female,South,High,Doctorate,Single,22,Monthly,App,Silver,0
CUST007566,64.0,Female,south,Mid,Post-Graduate,Single,5,Annual,Phone,Silver,1
CUST010029,46.0,Male,West,High,High School,Widowed,12,Monthly,Web,Bronze,0
CUST002534,50.0,Female,north,,,Single,51,Annual,Web,Gold,0
CUST006040,41.0,Female,central,Mid,Post-Graduate,Married,62,Monthly,App,Gold,0
CUST008297,37.0,Female,SOUTH,High,Post-Graduate,Single,27,Annual,Web,Bronze,1
CUST019345,35.0,Male,Central,Low,Post-Graduate,Divorced,34,multiyear,In-store,Bronze,0
CUST005310,42.0,Female,South,,Graduate,Married,10,Annual,Phone,Silver,0
CUST001490,27.0,Female,north,Mid,High School,Divorced,34,Annual,Web,Bronze,0
CUST017780,18.0,Male,north ,Mid,Graduate,Single,14,Monthly,App,Gold,1
CUST006920,57.0,male,WEST,Low,High School,Married,62,Monthly,Phone,Bronze,0
CUST010483,35.0,Female,WEST,Low,Graduate,Married,31,Multi-year,In-store,Bronze,0
CUST001983,36.0,FEMALE,South,Low,,Widowed,21,Annual,Phone,Silver,0
CUST011287,34.0,FEMALE,north ,Mid,Graduate,Widowed,20,Monthly,Web,Gold,0
CUST010224,41.0,F,SOUTH,Mid,Doctorate,Widowed,9,Monthly,Phone,,0
CUST012670,48.0,Female,East,Mid,Graduate,Married,3,Monthly,Web,Gold,1
CUST016805,36.0,Male,north,Mid,Graduate,Single,27,Monthly,App,Silver,0
CUST013442,33.0,Female,Central,Low,Post-Graduate,Divorced,25,Monthly,In-store,Gold,0
CUST005745,41.0,MALE,East,Mid,Graduate,Single,31,Monthly,App,Bronze,0
CUST011300,36.0,Male,north ,Mid,Post-Graduate,Married,41,Monthly,Phone,Bronze,1
CUST012178,47.0,Female,Central,Mid,Graduate,Married,41,Annual,In-store,Bronze,0
CUST001135,40.0,female,North,Low,High School,Married,53,Annual,App,,0
CUST008855,,Male,West,,High School,Widowed,46,Annual,Web,Bronze,1
CUST016028,41.0,Female,WEST,,Graduate,Divorced,97,Monthly,Web,Bronze,0
CUST000866,18.0,Male,WEST,Mid,High School,Single,76,Multi-year,App,,0
CUST004388,46.0,Female,West,High,High School,Married,20,Annual,App,Bronze,0
CUST008944,45.0,Female,North,Low,Graduate,Single,42,Monthly,App,Bronze,1
CUST019524,45.0,Female,Central,,High School,Single,53,Monthly,App,Gold,0
CUST006343,34.0,Non-binary,WEST,Mid,Post-Graduate,Married,46,Monthly,App,Gold,1
CUST013777,55.0,Female,North,Low,Post-Graduate,Married,13,Monthly,App,,0
CUST018361,55.0,Female,North,Low,Graduate,Divorced,56,Monthly,App,Silver,0
CUST017625,31.0,Male,CENTRAL,Mid,Post-Graduate,Single,44,Monthly,In-store,Gold,1
CUST018146,22.0,Female,east,Mid,High School,Single,28,multi-year,App,Bronze,0
CUST019671,40.0,Male,CENTRAL,Low,High School,Single,68,Annual,In-store,Silver,1
CUST002734,70.0,Female,EAST,Mid,High School,Single,48,Annual,App,Bronze,0
CUST019033,,Female,west,Mid,High School,Married,39,Monthly,Web,Silver,0
CUST000886,43.0,Male,Central,Low,Graduate,Married,51,Multi-year,Web,Bronze,0
CUST000471,36.0,FEMALE,North,Mid,Graduate,Single,29,Monthly,Web,Bronze,1
CUST004524,41.0,male,central,Low,Graduate,Single,18,Annual,App,Bronze,0
CUST014260,42.0,Female,South ,Mid,Graduate,Married,32,Annual,Web,,0
CUST015039,31.0,female,north ,Low,Graduate,Married,10,multiyear,App,Silver,0
CUST015912,51.0,M,EAST,High,Graduate,Married,11,Monthly,App,Bronze,0
CUST009293,57.0,MALE,east,High,Doctorate,Married,16,Annual,App,Bronze,0
CUST008050,39.0,Male,West,,High School,Married,9,Monthly,App,Bronze,0
CUST012837,60.0,Male,Central,Mid,High School,Divorced,41,Annual,In-store,Gold,0
CUST006275,51.0,female,SOUTH,Mid,,Married,14,Multi-year,App,Bronze,0
CUST008793,41.0,Male,west,Mid,Post-Graduate,Married,35,Annual,Web,Silver,1
CUST019769,31.0,female,east,High,Graduate,Married,33,Monthly,Web,Bronze,1
CUST001466,,FEMALE,north ,Low,Graduate,Married,40,Annual,Web,Platinum,0
