customer_id,purchase_frequency,avg_order_value,total_spend_6m,recency_days,product_categories_used,returns_ratio,email_open_rate,app_sessions_per_month,support_tickets_6m,campaign_response_rate,last_promotion_used,customer_satisfaction_score,payment_method
CUST005669,1.0,11.49,11.79,133.0,1,0.2042,0.0,49.0,2,0.0,Free Shipping,30.5,Credit Card
CUST006820,1.0,655.25,695.08,159.0,1,0.0,,28.0,0,0.8175,No Promotion,58.0,Debit Card
CUST001883,16.0,86.14,1485.48,73.0,4,0.316,,30.0,11,0.97,No Promotion,73.0,Wallet
CUST013176,4.0,31.71,118.23,183.0,4,,0.2656,9.0,11,0.1826,Cashback,16.0,Credit Card
CUST018153,12.0,93.64,1080.96,36.0,4,0.7866,0.4011,,17,0.5255,Cashback,9.0,Wallet
CUST000705,1.0,827.25,908.52,159.0,1,0.3168,0.0,2.0,6,0.3081,,60.5,Debit Card
CUST014900,2.0,168.66,364.45,63.0,1,0.1713,0.1019,1.0,10,0.3961,Free Shipping,65.0,Debit Card
CUST009095,42.0,83.39,3193.52,183.0,8,0.476,0.1376,12.0,0,0.241,Free Shipping,64.5,COD
CUST008778,1.0,17.36,18.82,96.0,1,0.2868,0.7371,23.0,4,0.6318,Cashback,70.5,Credit Card
CUST012024,17.0,36.27,582.12,152.0,4,0.3193,0.3714,0.0,6,0.3572,,,Credit Card
CUST018411,1.0,22.91,24.86,143.0,1,,,27.0,4,0.5969,No Promotion,20.0,COD
CUST005751,1.0,22.63,24.49,124.0,1,0.2694,0.2414,0.0,4,0.087,Free Shipping,13.5,Credit Card
CUST006981,11.0,101.52,1178.26,133.0,3,0.2356,0.0,0.0,14,0.5304,Discount,40.0,Wallet
CUST013799,1.0,275.96,288.48,1.0,1,0.0938,0.0,60.0,0,0.5329,Cashback,35.5,Credit Card
CUST008919,8.0,24.82,216.88,105.0,4,0.0,0.98,25.0,4,0.97,,100.0,COD
CUST002593,3.0,192.49,626.57,78.0,3,0.7844,0.407,21.0,1,0.4174,Discount,35.5,Debit Card
CUST012653,11.0,106.55,1175.12,,6,,,9.0,4,0.8251,Discount,63.5,COD
CUST004911,42.0,21.37,891.02,171.0,7,0.1227,0.7992,27.0,11,0.6366,Discount,8.5,Credit Card
CUST018854,36.0,33.24,1102.14,85.0,8,0.0,0.4702,34.0,22,0.7921,Free Shipping,5.0,Debit Card
CUST010167,27.0,94.29,2401.32,129.0,4,0.2924,0.7182,39.0,2,0.7165,Free Shipping,58.0,Wallet
CUST001576,17.0,45.16,791.09,146.0,6,0.0776,0.4223,30.0,0,0.7359,Discount,79.5,Credit Card
CUST014848,4.0,31.43,116.34,1.0,3,0.2559,0.3032,18.0,4,0.0,No Promotion,3.0,Credit Card
CUST011795,,37.8,594.9,183.0,6,0.0729,0.0181,26.0,0,0.5899,,63.0,Debit Card
CUST006082,18.0,36.18,615.67,1.0,3,0.0944,0.98,27.0,10,0.9175,Cashback,0.0,Wallet
CUST004391,28.0,65.68,1687.46,170.0,5,0.4648,0.98,10.0,9,0.1293,Cashback,39.5,Credit Card
CUST008594,4.0,83.48,316.24,31.0,3,0.1369,0.1372,0.0,0,0.0,Cashback,78.5,Debit Card
CUST017661,11.0,27.46,274.8,90.0,6,0.1821,0.5831,0.0,3,0.97,,62.5,Credit Card
CUST005035,,170.4,349.75,68.0,2,0.4429,0.2995,0.0,0,0.3629,No Promotion,24.5,Credit Card
CUST000429,1.0,21.63,22.48,44.0,1,0.5674,0.7461,0.0,0,0.3428,No Promotion,,Credit Card
CUST003776,,76.97,266.45,2.0,1,0.2671,0.043,32.0,0,0.1255,Free Shipping,53.5,Credit Card
CUST011494,5.0,16.0,84.81,154.0,3,0.2607,0.314,60.0,1,0.8423,No Promotion,31.5,Wallet
CUST000056,16.0,88.07,1382.26,,4,0.1911,,41.0,5,0.2675,No Promotion,36.0,Credit Card
CUST011154,1.0,32.13,33.8,1.0,1,0.5209,0.3614,40.0,0,0.5352,Discount,,Credit Card
CUST018422,12.0,26.04,325.5,45.0,6,0.2986,,,0,0.2183,No Promotion,85.0,Wallet
CUST002171,9.0,178.97,1493.39,126.0,5,0.464,0.237,,5,0.2718,Discount,39.5,Credit Card
CUST010367,8.0,38.7,282.15,183.0,1,0.0,0.7656,51.0,0,0.6963,Discount,48.0,Credit Card
CUST003575,15.0,55.7,892.64,99.0,2,0.5861,0.6146,49.0,7,0.5436,Free Shipping,51.5,Wallet
CUST004920,,103.34,1021.22,50.0,1,0.1837,,60.0,5,0.3755,Cashback,58.5,Wallet
CUST014529,18.0,243.57,4099.29,183.0,3,0.2881,0.5447,60.0,7,0.97,No Promotion,53.0,Debit Card
CUST015055,1.0,403.14,414.64,82.0,1,0.2541,0.4825,38.0,8,0.8477,No Promotion,27.5,Debit Card
CUST005110,13.0,70.59,886.35,110.0,5,0.2045,0.2549,,0,0.6008,Discount,63.0,Credit Card
CUST009895,40.0,45.65,1664.15,23.0,5,0.5633,0.557,36.0,0,0.7538,Cashback,55.5,Credit Card
CUST004826,11.0,257.12,2674.89,138.0,5,0.2695,0.3896,21.0,2,0.287,Free Shipping,73.0,COD
CUST009677,13.0,52.03,711.02,86.0,7,0.2246,0.204,5.0,4,0.4943,No Promotion,100.0,COD
CUST016278,23.0,79.17,1781.09,80.0,4,0.1431,0.6114,6.0,11,0.6023,No Promotion,26.5,COD
CUST000443,8.0,99.12,800.06,69.0,6,0.0425,,,0,0.3264,Discount,44.5,Credit Card
CUST005708,14.0,307.72,3994.91,138.0,1,0.4487,0.8585,,0,0.2941,,45.5,Credit Card
CUST015571,13.0,42.51,507.63,30.0,6,0.5501,0.8319,0.0,12,0.0,Cashback,66.0,Credit Card
CUST002421,11.0,210.8,2197.87,60.0,3,,0.4635,45.0,14,0.2908,No Promotion,3.0,Credit Card
CUST014936,30.0,231.81,6916.07,108.0,7,0.424,0.8083,36.0,1,0.8027,Discount,43.0,Debit Card
CUST007829,19.0,40.33,819.42,148.0,5,0.3958,0.5154,35.0,12,0.9602,No Promotion,78.5,Credit Card
CUST015128,5.0,24.24,127.58,183.0,3,0.3992,0.8762,9.0,1,0.8351,,95.0,Debit Card
CUST014381,19.0,60.32,1068.16,74.0,5,0.0643,0.0755,0.0,0,0.7395,Free Shipping,61.5,Credit Card
CUST004725,,71.14,86.11,1.0,8,0.1839,0.7652,31.0,4,0.4307,Discount,64.5,Wallet
CUST001092,8.0,197.7,1494.77,158.0,3,0.73,0.6386,6.0,0,0.3857,No Promotion,,Credit Card
CUST009344,1.0,23.04,24.14,114.0,1,,0.7675,17.0,0,0.4683,Cashback,39.0,COD
CUST017436,1.0,14.26,14.44,182.0,1,0.2332,,18.0,2,0.1759,Discount,,Wallet
CUST008666,22.0,113.69,2654.72,50.0,8,0.3244,0.6361,,0,0.4473,Discount,26.0,Debit Card
CUST018647,19.0,237.64,4397.41,159.0,6,0.2188,0.98,47.0,6,0.4173,No Promotion,87.0,Debit Card
CUST018792,21.0,112.22,2399.26,183.0,6,0.32,0.4963,0.0,8,0.394,Discount,49.5,Credit Card
CUST016523,6.0,13.7,83.76,148.0,2,0.0,,47.0,0,0.6002,,81.0,Credit Card
CUST002727,3.0,287.54,884.48,60.0,3,0.548,0.6229,0.0,9,0.8172,,58.5,Debit Card
CUST015806,9.0,64.75,579.27,1.0,7,0.2329,0.4403,,0,0.97,Cashback,49.5,COD
CUST005552,,303.82,1987.11,54.0,1,0.5777,0.98,25.0,3,0.6312,Free Shipping,65.0,Debit Card
CUST013190,16.0,179.1,2824.64,124.0,2,0.2307,0.0933,36.0,1,0.1773,Discount,29.5,Credit Card
CUST010199,1.0,17.81,19.4,1.0,1,0.0296,0.0,0.0,0,0.7031,No Promotion,60.5,Debit Card
CUST008733,12.0,338.25,3874.01,132.0,5,0.1123,0.5709,17.0,10,0.3566,Free Shipping,35.5,Credit Card
CUST012114,42.0,282.58,12402.05,183.0,7,0.1621,0.7532,50.0,0,0.5486,No Promotion,72.5,Credit Card
CUST016772,9.0,24.8,243.05,55.0,4,0.2344,0.4418,0.0,0,0.2227,,100.0,COD
CUST015461,41.0,125.94,5231.9,150.0,5,0.452,0.2735,0.0,7,0.2276,No Promotion,99.0,Credit Card
CUST003935,18.0,63.3,1136.97,164.0,4,0.5093,0.2777,60.0,10,0.2903,,87.5,Debit Card
CUST001440,7.0,18.79,121.55,134.0,1,,0.0,22.0,2,0.4688,Discount,28.0,Credit Card
CUST017353,,72.46,877.9,114.0,1,0.2022,0.623,23.0,0,0.5447,No Promotion,32.0,Wallet
CUST005042,1.0,24.47,26.27,65.0,1,0.0143,0.7565,41.0,1,0.0852,,15.0,Credit Card
CUST000993,20.0,126.64,2776.31,143.0,3,0.124,0.98,,0,0.4658,No Promotion,70.0,Credit Card
CUST003627,17.0,80.88,1292.93,46.0,6,0.0,0.4909,,4,0.0,No Promotion,0.0,Credit Card
CUST012066,37.0,19.42,778.91,,8,0.1004,0.3854,0.0,1,0.0,Discount,62.5,Credit Card
CUST014647,4.0,272.77,1062.76,183.0,4,0.1172,0.2959,41.0,0,0.2852,Discount,70.0,Credit Card
CUST006039,22.0,182.45,4109.57,,8,0.025,,17.0,0,0.3279,Discount,79.5,COD
CUST002613,21.0,279.78,5550.63,90.0,4,0.7811,0.5392,29.0,20,0.7485,No Promotion,,COD
CUST006053,38.0,291.55,10521.36,183.0,8,0.4134,0.637,58.0,14,0.2283,Cashback,62.5,Debit Card
CUST004441,19.0,35.82,696.81,73.0,5,0.0586,0.2568,1.0,7,0.7204,No Promotion,33.5,Credit Card
CUST015022,3.0,726.85,2173.93,24.0,3,0.4649,0.3422,,9,0.5499,Free Shipping,50.5,Wallet
CUST006949,18.0,58.19,1144.7,118.0,4,0.1939,0.8229,40.0,3,0.8577,No Promotion,42.5,Credit Card
CUST016744,28.0,52.77,1407.97,14.0,7,0.3678,0.4919,25.0,21,0.6234,Discount,,Debit Card
CUST005970,25.0,20.11,540.71,132.0,3,0.1135,0.5989,60.0,11,0.8113,No Promotion,,Credit Card
CUST014894,1.0,448.49,451.27,122.0,1,0.2712,0.6455,58.0,0,0.7993,Free Shipping,56.5,Credit Card
CUST015673,42.0,109.62,4267.59,88.0,7,0.1259,0.1675,0.0,5,0.0,,67.5,COD
CUST013482,22.0,197.84,4125.38,173.0,3,0.2009,0.7739,0.0,28,0.5954,,100.0,Wallet
CUST007544,3.0,389.46,1228.14,183.0,3,0.085,0.6452,0.0,6,0.97,Discount,42.5,Wallet
CUST009903,31.0,110.04,3634.12,3.0,4,,0.2735,,7,0.2844,Free Shipping,,Debit Card
CUST015710,1.0,23.7,25.26,128.0,1,,0.3446,34.0,0,0.97,Cashback,91.5,COD
CUST016824,1.0,630.19,678.0,120.0,1,0.3692,0.0712,24.0,1,0.2263,No Promotion,83.0,Credit Card
CUST012159,17.0,104.04,1766.63,5.0,4,0.3657,0.9743,60.0,0,0.3196,Discount,100.0,Credit Card
CUST018147,7.0,33.29,238.38,172.0,3,0.2956,0.5918,35.0,6,0.4669,No Promotion,22.5,Wallet
CUST002035,14.0,13.0,187.49,1.0,3,0.5379,0.0,0.0,3,0.2733,No Promotion,24.0,Debit Card
CUST019377,7.0,22.85,170.53,145.0,4,0.0484,0.5893,43.0,0,0.6854,Free Shipping,59.0,Debit Card
CUST000288,8.0,73.11,558.37,164.0,2,0.0903,0.0,14.0,5,0.5564,No Promotion,28.5,Debit Card
CUST018562,37.0,47.37,1616.69,140.0,8,0.2234,0.2806,20.0,16,0.8065,,100.0,Debit Card
CUST000320,32.0,165.87,4974.99,17.0,8,0.0,0.4817,60.0,0,0.6128,No Promotion,7.5,COD
CUST000513,14.0,37.7,573.89,22.0,4,0.0501,0.599,35.0,12,0.1461,Discount,29.0,Debit Card
CUST018139,14.0,157.89,2231.1,9.0,4,0.046,0.0,8.0,4,0.2939,Cashback,65.0,Credit Card
CUST003474,19.0,29.48,528.66,76.0,1,0.0505,,60.0,0,0.1753,Free Shipping,58.0,COD
CUST018927,9.0,68.61,652.81,132.0,6,0.209,0.92,,0,0.86,,55.5,Credit Card
CUST006164,8.0,18.09,147.24,25.0,2,0.4008,0.6323,0.0,5,0.5646,Discount,41.0,Credit Card
CUST004704,10.0,72.18,702.66,78.0,3,0.275,0.4541,53.0,0,0.5184,Discount,50.5,Debit Card
CUST007554,14.0,19.58,247.73,73.0,4,0.246,0.0,28.0,0,0.3284,Discount,44.0,Credit Card
CUST000940,30.0,63.49,2012.47,180.0,6,0.0021,0.5231,46.0,2,0.8475,Free Shipping,27.0,Debit Card
CUST008947,2.0,19.74,41.2,1.0,2,0.2285,0.3154,57.0,2,0.894,Discount,86.5,Wallet
CUST013861,7.0,34.95,233.02,20.0,3,,0.5808,25.0,12,0.6514,No Promotion,72.0,Wallet
CUST018463,,20.12,297.21,90.0,5,0.0449,0.0,0.0,5,0.617,Free Shipping,59.5,Credit Card
CUST009137,6.0,134.32,769.09,122.0,2,0.4578,0.0516,0.0,0,0.0,No Promotion,56.0,Credit Card
CUST015288,25.0,153.38,3965.17,85.0,8,0.3665,0.0,16.0,4,0.0464,Free Shipping,50.5,Credit Card
CUST017792,40.0,72.09,2764.87,68.0,5,0.3946,0.0621,2.0,0,0.0,No Promotion,82.5,Credit Card
CUST018753,6.0,318.68,1839.56,158.0,1,,0.2637,40.0,11,0.8915,No Promotion,61.0,Credit Card
CUST010108,3.0,23.24,68.0,156.0,2,0.1135,,60.0,10,0.6331,No Promotion,49.0,Credit Card
CUST007691,7.0,81.69,626.77,36.0,4,0.4309,0.6366,7.0,3,0.2793,Discount,63.5,COD
CUST009902,1.0,1028.97,1117.63,120.0,1,0.6078,0.98,26.0,0,0.2008,Cashback,,Credit Card
CUST004028,13.0,579.53,7349.13,14.0,2,0.5104,0.0,0.0,17,0.0193,Discount,24.5,Debit Card
CUST016994,42.0,179.2,7481.24,46.0,8,0.3464,0.2398,27.0,6,0.2199,,49.0,Credit Card
CUST004254,13.0,75.02,1018.0,178.0,4,0.0,0.3534,39.0,3,0.0,,100.0,Credit Card
CUST015172,37.0,14.77,588.41,6.0,5,0.2638,0.0,31.0,28,0.3545,Cashback,14.0,Credit Card
CUST012689,,79.12,3567.34,154.0,7,0.2539,0.2157,0.0,7,0.1358,Cashback,25.0,COD
CUST010589,24.0,183.71,4396.76,,8,0.408,0.7581,15.0,7,0.4669,Free Shipping,50.5,Debit Card
CUST019822,,274.27,2239.14,162.0,5,0.4275,0.5023,43.0,7,0.652,Free Shipping,84.5,Credit Card
CUST005117,,214.91,9470.94,38.0,7,0.3714,0.2341,41.0,11,0.0407,Discount,39.0,Debit Card
CUST013867,1.0,16.53,17.07,182.0,1,0.2792,0.0746,40.0,0,0.5258,,45.5,Debit Card
CUST008052,8.0,18.08,149.16,2.0,2,0.4717,,49.0,7,0.5229,Cashback,64.5,Credit Card
CUST014083,2.0,941.87,1832.26,14.0,2,0.3294,0.5311,33.0,0,0.6372,,,Debit Card
CUST003198,,357.84,12293.34,30.0,2,0.0546,0.3854,18.0,0,0.5424,Free Shipping,50.0,Credit Card
CUST013668,6.0,18.86,106.51,109.0,1,0.4502,0.98,60.0,1,0.97,Discount,71.5,Wallet
CUST004045,26.0,91.43,2469.39,10.0,7,0.4229,0.6053,4.0,3,0.3137,,,Credit Card
CUST007518,,22.07,993.69,21.0,8,0.3046,0.6675,40.0,24,0.191,Cashback,78.0,Debit Card
CUST019692,14.0,233.31,3168.06,183.0,1,0.4475,0.3565,14.0,8,0.6931,Discount,,Wallet
CUST011818,2.0,640.63,1170.59,74.0,1,0.0803,0.0021,19.0,1,0.5775,No Promotion,28.0,Credit Card
CUST004802,1.0,16.22,17.24,57.0,1,0.4474,0.0235,9.0,0,0.0735,No Promotion,32.5,Debit Card
CUST017632,15.0,118.72,1672.11,1.0,8,0.2784,0.142,0.0,10,0.7011,No Promotion,36.0,Credit Card
CUST000672,12.0,34.06,427.96,72.0,4,0.0,0.09,6.0,10,0.5622,No Promotion,58.5,Credit Card
CUST019071,38.0,136.2,5376.93,47.0,3,0.2009,0.584,25.0,4,0.2836,No Promotion,32.5,Credit Card
CUST014857,1.0,460.18,472.88,1.0,1,0.1486,0.9512,50.0,0,0.8725,,71.0,Wallet
CUST009499,23.0,104.55,2350.29,66.0,1,0.5008,,32.0,0,0.5745,Cashback,79.5,Credit Card
CUST017217,31.0,101.44,3389.55,142.0,4,0.0816,0.0855,0.0,27,0.0,Free Shipping,79.0,Debit Card
CUST001060,1.0,558.73,606.16,25.0,1,0.5995,0.4526,37.0,0,0.97,Discount,,Debit Card
CUST000132,1.0,203.73,221.56,36.0,1,,,31.0,0,0.97,Free Shipping,69.0,Debit Card
CUST006294,3.0,281.66,871.67,1.0,3,0.0897,0.0,0.0,0,0.067,Discount,,Credit Card
CUST009422,10.0,29.84,316.09,122.0,5,0.0479,,,0,0.5601,Discount,29.0,Debit Card
CUST013451,32.0,47.08,1573.74,31.0,5,0.4917,0.5771,52.0,6,0.6201,Discount,57.0,Credit Card
CUST005728,12.0,92.12,1044.62,,6,,,41.0,14,0.8284,Discount,90.5,COD
CUST019910,29.0,81.28,2358.67,100.0,5,0.0978,,45.0,21,0.3095,Free Shipping,96.0,Wallet
CUST002987,3.0,207.96,580.44,132.0,2,0.4685,0.8907,45.0,0,0.2004,,73.5,Credit Card
CUST001044,1.0,28.48,28.7,96.0,1,,0.7115,6.0,0,0.2272,No Promotion,42.5,Credit Card
CUST014657,,276.55,3946.21,46.0,3,0.0,0.98,29.0,10,0.6775,Discount,51.5,COD
CUST013937,5.0,223.56,1224.9,1.0,5,0.3495,,46.0,0,0.8718,Cashback,82.0,Wallet
CUST002214,19.0,271.39,4781.52,102.0,1,0.4991,0.1206,35.0,13,0.3301,No Promotion,42.5,Debit Card
CUST001704,,76.87,1156.82,183.0,3,0.0,0.98,60.0,0,0.97,Cashback,,Credit Card
CUST017281,,112.65,144.09,161.0,2,0.1074,0.3062,19.0,5,0.5796,No Promotion,,Debit Card
CUST003429,13.0,64.79,904.17,114.0,7,,0.626,59.0,2,0.6185,,45.0,Credit Card
CUST000893,1.0,370.12,380.67,164.0,1,0.0571,0.8361,0.0,1,0.5701,No Promotion,38.5,COD
CUST002551,7.0,134.96,888.4,150.0,5,0.4272,0.3275,12.0,0,0.5418,Discount,56.5,Debit Card
CUST005744,21.0,380.43,8759.67,76.0,4,0.1631,0.3592,0.0,23,0.4882,,47.0,Wallet
CUST008792,11.0,95.34,1149.7,76.0,4,0.1226,0.4585,14.0,4,0.0,Free Shipping,50.5,Debit Card
CUST003587,16.0,23.54,412.0,126.0,6,0.1058,,2.0,9,0.4711,No Promotion,53.0,COD
CUST004186,10.0,16.98,173.66,111.0,3,0.4688,0.8224,40.0,0,0.1223,Discount,57.5,COD
CUST009418,6.0,276.63,1769.98,128.0,3,0.3121,0.8338,23.0,0,0.7849,Discount,60.0,Debit Card
CUST001984,4.0,1233.26,4514.75,18.0,3,0.4063,0.925,37.0,0,0.3635,Free Shipping,63.0,Credit Card
CUST000398,5.0,316.71,1506.1,8.0,5,0.291,0.8938,29.0,2,0.8137,Cashback,41.5,Credit Card
CUST001458,12.0,211.85,2334.77,81.0,3,,0.3009,38.0,12,0.1184,Cashback,26.0,Debit Card
CUST001345,9.0,72.93,657.08,142.0,4,0.2753,0.0307,43.0,2,0.3554,,30.5,Wallet
CUST015801,20.0,65.43,1430.18,21.0,2,0.2215,0.8418,60.0,28,0.9204,Cashback,46.5,Credit Card
CUST006669,3.0,30.9,95.47,89.0,3,0.1378,0.2641,15.0,1,0.7014,,45.5,Credit Card
CUST016649,3.0,15.66,46.62,1.0,3,0.1234,0.0,57.0,5,0.97,Cashback,63.5,Wallet
CUST012333,16.0,13.16,222.89,52.0,6,0.0928,0.636,41.0,0,0.3512,Discount,65.0,Debit Card
